object_id,cluster_id,rgb_value,occurence,r_value,g_value,b_value,h_value,s_value,v_value
592,Cluster2,"(180, 120, 105)",2,180,120,105,12,0.42,0.71
592,Cluster1,"(240, 195, 165)",3,240,195,165,24,0.31,0.94
599,Cluster2,"(150, 120, 120)",1,150,120,120,0,0.2,0.59
619,Cluster5,"(195, 195, 210)",1,195,195,210,240,0.07,0.82
653,Cluster5,"(105, 150, 135)",1,105,150,135,160,0.3,0.59
653,Cluster1,"(135, 165, 150)",2,135,165,150,150,0.18,0.65
776,Cluster2,"(165, 180, 165)",5,165,180,165,120,0.08,0.71
856,Cluster4,"(150, 60, 15)",2,150,60,15,20,0.9,0.59
904,Cluster2,"(105, 75, 75)",2,105,75,75,0,0.29,0.41
906,Cluster3,"(225, 210, 150)",5,225,210,150,48,0.33,0.88
907,Cluster1,"(165, 60, 15)",2,165,60,15,18,0.91,0.65
907,Cluster2,"(0, 15, 30)",1,0,15,30,210,1,0.12
913,Cluster4,"(30, 90, 120)",1,30,90,120,200,0.75,0.47
915,Cluster3,"(45, 75, 75)",2,45,75,75,180,0.4,0.29
918,Cluster5,"(180, 90, 30)",1,180,90,30,24,0.83,0.71
921,Cluster5,"(90, 45, 45)",3,90,45,45,0,0.5,0.35
923,Cluster4,"(135, 45, 15)",1,135,45,15,15,0.89,0.53
924,Cluster2,"(165, 195, 195)",1,165,195,195,180,0.15,0.76
925,Cluster4,"(120, 150, 150)",5,120,150,150,180,0.2,0.59
926,Cluster4,"(135, 75, 15)",1,135,75,15,30,0.89,0.53
926,Cluster1,"(165, 120, 45)",4,165,120,45,37.5,0.73,0.65
929,Cluster5,"(195, 180, 120)",3,195,180,120,48,0.38,0.76
933,Cluster4,"(210, 210, 165)",3,210,210,165,60,0.21,0.82
942,Cluster3,"(165, 165, 120)",2,165,165,120,60,0.27,0.65
961,Cluster4,"(90, 120, 135)",3,90,120,135,200,0.33,0.53
963,Cluster5,"(30, 90, 135)",1,30,90,135,205.71,0.78,0.53
968,Cluster2,"(120, 135, 165)",2,120,135,165,220,0.27,0.65
969,Cluster5,"(165, 150, 75)",2,165,150,75,50,0.55,0.65
969,Cluster2,"(90, 105, 75)",3,90,105,75,90,0.29,0.41
976,Cluster1,"(90, 120, 105)",2,90,120,105,150,0.25,0.47
977,Cluster3,"(90, 150, 150)",1,90,150,150,180,0.4,0.59
980,Cluster1,"(150, 75, 45)",4,150,75,45,17.14,0.7,0.59
980,Cluster5,"(75, 30, 30)",3,75,30,30,0,0.6,0.29
981,Cluster3,"(240, 195, 135)",2,240,195,135,34.29,0.44,0.94
990,Cluster2,"(45, 90, 120)",3,45,90,120,204,0.62,0.47
994,Cluster3,"(45, 60, 15)",1,45,60,15,80,0.75,0.24
997,Cluster5,"(90, 150, 165)",1,90,150,165,192,0.45,0.65
1009,Cluster3,"(210, 90, 15)",1,210,90,15,23.08,0.93,0.82
1009,Cluster5,"(120, 105, 30)",1,120,105,30,50,0.75,0.47
1009,Cluster2,"(180, 165, 90)",1,180,165,90,50,0.5,0.71
1010,Cluster5,"(60, 30, 0)",1,60,30,0,30,1,0.24
1011,Cluster4,"(195, 75, 15)",1,195,75,15,20,0.92,0.76
1016,Cluster2,"(150, 150, 90)",1,150,150,90,60,0.4,0.59
1016,Cluster5,"(60, 60, 15)",2,60,60,15,60,0.75,0.24
1016,Cluster1,"(15, 30, 0)",1,15,30,0,90,1,0.12
1018,Cluster1,"(105, 45, 45)",2,105,45,45,0,0.57,0.41
1020,Cluster2,"(120, 45, 30)",5,120,45,30,10,0.75,0.47
1026,Cluster2,"(105, 150, 150)",4,105,150,150,180,0.3,0.59
1032,Cluster2,"(180, 195, 165)",3,180,195,165,90,0.15,0.76
1032,Cluster5,"(150, 165, 150)",1,150,165,150,120,0.09,0.65
1040,Cluster1,"(105, 30, 15)",2,105,30,15,10,0.86,0.41
1041,Cluster2,"(105, 135, 165)",1,105,135,165,210,0.36,0.65
1043,Cluster5,"(105, 30, 30)",1,105,30,30,0,0.71,0.41
1044,Cluster3,"(165, 135, 45)",2,165,135,45,45,0.73,0.65
1051,Cluster4,"(45, 90, 75)",2,45,90,75,160,0.5,0.35
1056,Cluster5,"(135, 120, 60)",3,135,120,60,48,0.56,0.53
1060,Cluster3,"(105, 135, 135)",2,105,135,135,180,0.22,0.53
1061,Cluster5,"(75, 105, 105)",3,75,105,105,180,0.29,0.41
1069,Cluster4,"(120, 45, 15)",2,120,45,15,17.14,0.88,0.47
1083,Cluster5,"(60, 90, 105)",1,60,90,105,200,0.43,0.41
1092,Cluster1,"(60, 105, 120)",2,60,105,120,195,0.5,0.47
1093,Cluster3,"(195, 150, 30)",1,195,150,30,43.64,0.85,0.76
1095,Cluster4,"(180, 180, 120)",1,180,180,120,60,0.33,0.71
1095,Cluster1,"(105, 135, 150)",1,105,135,150,200,0.3,0.59
1107,Cluster4,"(180, 150, 75)",2,180,150,75,42.86,0.58,0.71
1108,Cluster3,"(150, 90, 45)",11,150,90,45,25.71,0.7,0.59
1108,Cluster5,"(105, 45, 30)",5,105,45,30,12,0.71,0.41
1115,Cluster2,"(150, 165, 120)",1,150,165,120,80,0.27,0.65
1115,Cluster1,"(105, 135, 105)",1,105,135,105,120,0.22,0.53
1116,Cluster2,"(60, 75, 30)",1,60,75,30,80,0.6,0.29
1117,Cluster2,"(90, 120, 120)",2,90,120,120,180,0.25,0.47
1118,Cluster5,"(210, 180, 60)",1,210,180,60,48,0.71,0.82
1118,Cluster1,"(225, 195, 90)",1,225,195,90,46.67,0.6,0.88
1118,Cluster3,"(165, 195, 150)",1,165,195,150,100,0.23,0.76
1119,Cluster1,"(135, 150, 60)",1,135,150,60,70,0.6,0.59
1119,Cluster2,"(30, 60, 30)",1,30,60,30,120,0.5,0.24
1120,Cluster3,"(195, 105, 30)",3,195,105,30,27.27,0.85,0.76
1121,Cluster3,"(225, 180, 30)",1,225,180,30,46.15,0.87,0.88
1123,Cluster4,"(30, 60, 45)",1,30,60,45,150,0.5,0.24
1124,Cluster5,"(90, 105, 60)",1,90,105,60,80,0.43,0.41
1126,Cluster2,"(60, 45, 60)",4,60,45,60,300,0.25,0.24
1146,Cluster2,"(45, 15, 15)",2,45,15,15,0,0.67,0.18
1147,Cluster1,"(60, 75, 105)",1,60,75,105,220,0.43,0.41
1163,Cluster5,"(120, 150, 165)",3,120,150,165,200,0.27,0.65
1166,Cluster3,"(0, 60, 90)",1,0,60,90,200,1,0.35
1175,Cluster2,"(195, 135, 90)",2,195,135,90,25.71,0.54,0.76
1177,Cluster2,"(165, 90, 30)",2,165,90,30,26.67,0.82,0.65
1179,Cluster5,"(15, 45, 45)",1,15,45,45,180,0.67,0.18
1183,Cluster5,"(75, 90, 75)",5,75,90,75,120,0.17,0.35
1187,Cluster1,"(180, 120, 15)",1,180,120,15,38.18,0.92,0.71
1187,Cluster3,"(210, 165, 45)",1,210,165,45,43.64,0.79,0.82
1192,Cluster1,"(150, 120, 150)",1,150,120,150,300,0.2,0.59
1204,Cluster3,"(0, 30, 75)",1,0,30,75,216,1,0.29
1214,Cluster4,"(75, 15, 15)",2,75,15,15,0,0.8,0.29
1219,Cluster1,"(195, 180, 195)",1,195,180,195,300,0.08,0.76
1226,Cluster1,"(120, 135, 105)",1,120,135,105,90,0.22,0.53
1227,Cluster4,"(75, 120, 150)",3,75,120,150,204,0.5,0.59
1233,Cluster3,"(150, 120, 30)",1,150,120,30,45,0.8,0.59
1236,Cluster4,"(30, 75, 75)",1,30,75,75,180,0.6,0.29
1237,Cluster2,"(240, 180, 120)",1,240,180,120,30,0.5,0.94
1238,Cluster3,"(240, 195, 120)",1,240,195,120,37.5,0.5,0.94
1239,Cluster3,"(45, 15, 0)",3,45,15,0,20,1,0.18
1247,Cluster2,"(225, 180, 135)",2,225,180,135,30,0.4,0.88
1248,Cluster3,"(225, 165, 90)",1,225,165,90,33.33,0.6,0.88
1256,Cluster4,"(90, 30, 30)",1,90,30,30,0,0.67,0.35
1263,Cluster2,"(105, 120, 75)",2,105,120,75,80,0.37,0.47
1269,Cluster2,"(225, 195, 120)",5,225,195,120,42.86,0.47,0.88
1270,Cluster3,"(45, 60, 60)",5,45,60,60,180,0.25,0.24
1280,Cluster4,"(240, 180, 105)",2,240,180,105,33.33,0.56,0.94
1280,Cluster3,"(195, 135, 75)",3,195,135,75,30,0.62,0.76
1282,Cluster4,"(30, 90, 90)",2,30,90,90,180,0.67,0.35
1287,Cluster4,"(90, 120, 150)",3,90,120,150,210,0.4,0.59
1294,Cluster3,"(75, 120, 135)",1,75,120,135,195,0.44,0.53
1300,Cluster5,"(90, 15, 15)",1,90,15,15,0,0.83,0.35
1323,Cluster2,"(180, 180, 195)",1,180,180,195,240,0.08,0.76
1324,Cluster1,"(30, 60, 60)",1,30,60,60,180,0.5,0.24
1326,Cluster1,"(210, 180, 180)",2,210,180,180,0,0.14,0.82
1327,Cluster5,"(60, 90, 60)",2,60,90,60,120,0.33,0.35
1332,Cluster4,"(60, 75, 120)",1,60,75,120,225,0.5,0.47
1367,Cluster1,"(30, 60, 75)",1,30,60,75,200,0.6,0.29
1375,Cluster2,"(150, 75, 30)",2,150,75,30,22.5,0.8,0.59
1376,Cluster1,"(30, 45, 15)",1,30,45,15,90,0.67,0.18
1380,Cluster4,"(180, 135, 30)",1,180,135,30,42,0.83,0.71
1383,Cluster3,"(240, 210, 150)",1,240,210,150,40,0.37,0.94
1408,Cluster2,"(105, 165, 195)",1,105,165,195,200,0.46,0.76
1409,Cluster3,"(195, 195, 150)",1,195,195,150,60,0.23,0.76
1438,Cluster4,"(225, 150, 15)",1,225,150,15,38.57,0.93,0.88
1440,Cluster3,"(45, 75, 90)",3,45,75,90,200,0.5,0.35
1444,Cluster3,"(135, 135, 75)",1,135,135,75,60,0.44,0.53
1444,Cluster1,"(75, 90, 45)",1,75,90,45,80,0.5,0.35
1452,Cluster5,"(180, 150, 60)",1,180,150,60,45,0.67,0.71
1452,Cluster3,"(15, 30, 45)",1,15,30,45,210,0.67,0.18
1452,Cluster4,"(165, 195, 165)",1,165,195,165,120,0.15,0.76
1453,Cluster2,"(15, 45, 30)",1,15,45,30,150,0.67,0.18
1454,Cluster5,"(180, 150, 150)",1,180,150,150,0,0.17,0.71
1470,Cluster5,"(165, 45, 30)",1,165,45,30,6.67,0.82,0.65
1471,Cluster4,"(60, 105, 150)",1,60,105,150,210,0.6,0.59
1471,Cluster5,"(15, 60, 90)",1,15,60,90,204,0.83,0.35
1473,Cluster4,"(120, 165, 180)",1,120,165,180,195,0.33,0.71
1478,Cluster3,"(15, 75, 105)",1,15,75,105,200,0.86,0.41
1479,Cluster1,"(120, 120, 135)",3,120,120,135,240,0.11,0.53
1486,Cluster5,"(240, 195, 105)",2,240,195,105,40,0.56,0.94
1489,Cluster1,"(135, 150, 120)",1,135,150,120,90,0.2,0.59
1500,Cluster4,"(60, 90, 75)",1,60,90,75,150,0.33,0.35
1513,Cluster2,"(240, 150, 120)",1,240,150,120,15,0.5,0.94
1526,Cluster4,"(45, 60, 120)",1,45,60,120,228,0.62,0.47
1526,Cluster2,"(105, 105, 120)",1,105,105,120,240,0.13,0.47
1542,Cluster2,"(75, 60, 75)",2,75,60,75,300,0.2,0.29
1545,Cluster4,"(225, 225, 180)",1,225,225,180,60,0.2,0.88
1552,Cluster3,"(180, 165, 180)",1,180,165,180,300,0.08,0.71
1556,Cluster2,"(60, 75, 150)",1,60,75,150,230,0.6,0.59
1561,Cluster5,"(210, 120, 60)",1,210,120,60,24,0.71,0.82
1563,Cluster1,"(150, 135, 60)",1,150,135,60,50,0.6,0.59
1577,Cluster5,"(165, 180, 150)",1,165,180,150,90,0.17,0.71
1589,Cluster4,"(45, 90, 150)",1,45,90,150,214.29,0.7,0.59
1593,Cluster4,"(195, 150, 60)",1,195,150,60,40,0.69,0.76
1603,Cluster3,"(165, 105, 45)",2,165,105,45,30,0.73,0.65
1607,Cluster3,"(150, 150, 165)",1,150,150,165,240,0.09,0.65
1615,Cluster4,"(90, 75, 150)",1,90,75,150,252,0.5,0.59
1627,Cluster4,"(210, 105, 45)",1,210,105,45,21.82,0.79,0.82
1634,Cluster1,"(45, 15, 45)",1,45,15,45,300,0.67,0.18
1649,Cluster1,"(105, 105, 45)",1,105,105,45,60,0.57,0.41
1652,Cluster5,"(210, 105, 75)",1,210,105,75,13.33,0.64,0.82
1652,Cluster3,"(180, 90, 60)",2,180,90,60,15,0.67,0.71
1654,Cluster1,"(195, 105, 75)",1,195,105,75,15,0.62,0.76
1662,Cluster1,"(45, 60, 90)",1,45,60,90,220,0.5,0.35
1678,Cluster5,"(45, 90, 105)",1,45,90,105,195,0.57,0.41
1682,Cluster5,"(75, 105, 135)",1,75,105,135,210,0.44,0.53
1685,Cluster5,"(180, 45, 15)",1,180,45,15,10.91,0.92,0.71
1693,Cluster3,"(120, 30, 15)",1,120,30,15,8.57,0.88,0.47
1695,Cluster1,"(15, 60, 60)",1,15,60,60,180,0.75,0.24
1702,Cluster5,"(45, 90, 135)",1,45,90,135,210,0.67,0.53
1707,Cluster5,"(135, 30, 15)",1,135,30,15,7.5,0.89,0.53
1708,Cluster5,"(255, 255, 210)",1,255,255,210,60,0.18,1
1716,Cluster3,"(60, 105, 165)",1,60,105,165,214.29,0.64,0.65
1717,Cluster3,"(120, 150, 135)",1,120,150,135,150,0.2,0.59
1724,Cluster3,"(165, 90, 60)",1,165,90,60,17.14,0.64,0.65
1725,Cluster3,"(180, 105, 90)",1,180,105,90,10,0.5,0.71
1725,Cluster2,"(120, 120, 150)",1,120,120,150,240,0.2,0.59
1730,Cluster4,"(75, 135, 150)",1,75,135,150,192,0.5,0.59
1732,Cluster1,"(90, 105, 135)",3,90,105,135,220,0.33,0.53
1734,Cluster4,"(105, 60, 60)",1,105,60,60,0,0.43,0.41
1737,Cluster3,"(240, 165, 75)",1,240,165,75,32.73,0.69,0.94
1738,Cluster5,"(225, 165, 60)",1,225,165,60,38.18,0.73,0.88
1746,Cluster5,"(150, 75, 75)",1,150,75,75,0,0.5,0.59
1753,Cluster2,"(60, 60, 90)",2,60,60,90,240,0.33,0.35
1754,Cluster5,"(105, 120, 165)",1,105,120,165,225,0.36,0.65
1755,Cluster2,"(75, 75, 105)",1,75,75,105,240,0.29,0.41
1756,Cluster2,"(30, 60, 120)",1,30,60,120,220,0.75,0.47
1769,Cluster5,"(30, 75, 135)",1,30,75,135,214.29,0.78,0.53
1775,Cluster4,"(165, 75, 75)",1,165,75,75,0,0.55,0.65
1781,Cluster5,"(45, 75, 120)",1,45,75,120,216,0.62,0.47
1784,Cluster5,"(120, 75, 75)",1,120,75,75,0,0.37,0.47
1786,Cluster2,"(180, 105, 60)",1,180,105,60,22.5,0.67,0.71
1793,Cluster3,"(240, 225, 240)",1,240,225,240,300,0.06,0.94
1808,Cluster4,"(180, 105, 105)",1,180,105,105,0,0.42,0.71
1808,Cluster2,"(195, 120, 120)",1,195,120,120,0,0.38,0.76
1808,Cluster1,"(135, 75, 75)",1,135,75,75,0,0.44,0.53
1818,Cluster4,"(210, 210, 225)",1,210,210,225,240,0.07,0.88
1819,Cluster2,"(210, 120, 75)",1,210,120,75,20,0.64,0.82
