object_id,cluster_id,rgb_value,occurence,r_value,g_value,b_value,h_value,s_value,v_value
26,Cluster2,"(105, 75, 45)",60,105,75,45,30,0.57,0.41
26,Cluster4,"(105, 120, 105)",11,105,120,105,120,0.13,0.47
27,Cluster4,"(165, 150, 135)",120,165,150,135,30,0.18,0.65
27,Cluster3,"(255, 240, 225)",48,255,240,225,30,0.12,1
27,Cluster2,"(180, 180, 150)",26,180,180,150,60,0.17,0.71
27,Cluster1,"(135, 135, 120)",78,135,135,120,60,0.11,0.53
27,Cluster5,"(90, 90, 90)",30,90,90,90,0,0,0.35
28,Cluster2,"(75, 75, 75)",49,75,75,75,0,0,0.29
28,Cluster5,"(135, 135, 135)",17,135,135,135,0,0,0.53
28,Cluster4,"(165, 165, 165)",20,165,165,165,0,0,0.65
29,Cluster3,"(150, 120, 45)",2,150,120,45,42.86,0.7,0.59
29,Cluster2,"(75, 60, 15)",9,75,60,15,45,0.8,0.29
29,Cluster1,"(225, 210, 195)",121,225,210,195,30,0.13,0.88
29,Cluster5,"(30, 30, 0)",3,30,30,0,60,1,0.12
29,Cluster4,"(180, 180, 180)",31,180,180,180,0,0,0.71
31,Cluster5,"(225, 225, 225)",20,225,225,225,0,0,0.88
32,Cluster2,"(195, 180, 135)",33,195,180,135,45,0.31,0.76
32,Cluster3,"(120, 105, 90)",109,120,105,90,30,0.25,0.47
33,Cluster4,"(120, 105, 75)",86,120,105,75,40,0.37,0.47
33,Cluster3,"(210, 195, 195)",16,210,195,195,0,0.07,0.82
33,Cluster1,"(150, 150, 150)",26,150,150,150,0,0,0.59
34,Cluster4,"(105, 90, 30)",3,105,90,30,48,0.71,0.41
35,Cluster2,"(150, 120, 90)",79,150,120,90,30,0.4,0.59
37,Cluster4,"(90, 60, 45)",50,90,60,45,20,0.5,0.35
38,Cluster4,"(135, 105, 75)",71,135,105,75,30,0.44,0.53
38,Cluster3,"(180, 150, 120)",82,180,150,120,30,0.33,0.71
38,Cluster2,"(210, 195, 180)",117,210,195,180,30,0.14,0.82
39,Cluster4,"(210, 180, 165)",24,210,180,165,20,0.21,0.82
39,Cluster2,"(150, 135, 120)",99,150,135,120,30,0.2,0.59
40,Cluster5,"(90, 45, 30)",12,90,45,30,15,0.67,0.35
40,Cluster3,"(60, 75, 90)",4,60,75,90,210,0.33,0.35
40,Cluster1,"(195, 180, 165)",122,195,180,165,30,0.15,0.76
41,Cluster4,"(180, 150, 105)",47,180,150,105,36,0.42,0.71
41,Cluster3,"(120, 105, 45)",6,120,105,45,48,0.62,0.47
41,Cluster5,"(75, 120, 120)",3,75,120,120,180,0.37,0.47
41,Cluster2,"(30, 45, 45)",11,30,45,45,180,0.33,0.18
41,Cluster1,"(210, 210, 195)",26,210,210,195,60,0.07,0.82
43,Cluster1,"(225, 210, 180)",82,225,210,180,40,0.2,0.88
43,Cluster5,"(240, 225, 210)",149,240,225,210,30,0.13,0.94
44,Cluster4,"(105, 90, 45)",10,105,90,45,45,0.57,0.41
44,Cluster1,"(150, 135, 90)",25,150,135,90,45,0.4,0.59
45,Cluster4,"(240, 210, 195)",18,240,210,195,20,0.19,0.94
45,Cluster2,"(195, 180, 150)",98,195,180,150,40,0.23,0.76
45,Cluster5,"(90, 75, 75)",42,90,75,75,0,0.17,0.35
46,Cluster2,"(165, 150, 90)",9,165,150,90,48,0.45,0.65
46,Cluster4,"(0, 15, 15)",5,0,15,15,180,1,0.06
47,Cluster3,"(120, 60, 15)",2,120,60,15,25.71,0.88,0.47
47,Cluster2,"(210, 180, 120)",12,210,180,120,40,0.43,0.82
47,Cluster4,"(150, 120, 75)",32,150,120,75,36,0.5,0.59
47,Cluster1,"(30, 15, 0)",21,30,15,0,30,1,0.12
48,Cluster4,"(225, 225, 195)",30,225,225,195,60,0.13,0.88
49,Cluster1,"(135, 135, 90)",5,135,135,90,60,0.33,0.53
50,Cluster5,"(90, 90, 60)",23,90,90,60,60,0.33,0.35
50,Cluster3,"(210, 225, 195)",1,210,225,195,90,0.13,0.88
51,Cluster2,"(45, 45, 15)",5,45,45,15,60,0.67,0.18
52,Cluster2,"(150, 135, 75)",7,150,135,75,48,0.5,0.59
52,Cluster3,"(60, 60, 45)",95,60,60,45,60,0.25,0.24
53,Cluster5,"(195, 195, 180)",55,195,195,180,60,0.08,0.76
53,Cluster2,"(240, 240, 225)",84,240,240,225,60,0.06,0.94
54,Cluster4,"(240, 240, 240)",34,240,240,240,0,0,0.94
55,Cluster3,"(120, 90, 60)",78,120,90,60,30,0.5,0.47
56,Cluster3,"(105, 120, 120)",8,105,120,120,180,0.13,0.47
56,Cluster2,"(165, 180, 180)",7,165,180,180,180,0.08,0.71
57,Cluster2,"(150, 90, 75)",3,150,90,75,12,0.5,0.59
57,Cluster5,"(60, 30, 30)",13,60,30,30,0,0.5,0.24
58,Cluster4,"(225, 210, 165)",21,225,210,165,45,0.27,0.88
59,Cluster4,"(120, 135, 150)",5,120,135,150,210,0.2,0.59
59,Cluster1,"(90, 90, 105)",5,90,90,105,240,0.14,0.41
61,Cluster5,"(180, 150, 90)",18,180,150,90,40,0.5,0.71
61,Cluster3,"(240, 225, 180)",10,240,225,180,45,0.25,0.94
66,Cluster2,"(210, 180, 135)",30,210,180,135,36,0.36,0.82
67,Cluster5,"(180, 135, 45)",1,180,135,45,40,0.75,0.71
67,Cluster4,"(210, 195, 150)",30,210,195,150,45,0.29,0.82
68,Cluster3,"(210, 195, 165)",108,210,195,165,40,0.21,0.82
69,Cluster3,"(180, 120, 75)",6,180,120,75,25.71,0.58,0.71
69,Cluster1,"(195, 150, 90)",9,195,150,90,34.29,0.54,0.76
69,Cluster4,"(135, 90, 45)",13,135,90,45,30,0.67,0.53
69,Cluster2,"(90, 45, 15)",9,90,45,15,24,0.83,0.35
70,Cluster1,"(165, 105, 60)",5,165,105,60,25.71,0.64,0.65
